Dataset,Samples,Events,Reading Measures,# Subjects,# Sessions per Subject,Sampling Rate,Stimulus Type
":any:`BSC` :cite:p:`BSC`",,X,,60,1,500 Hz,Text (sentences)
":any:`BSCII` :cite:p:`BSCII`",,X,,60,1,1000 Hz,Text (sentences)
":any:`ChineseReading` :cite:p:`ChineseReading`",,X,X,303,1,1000 Hz,Text (sentences)
":any:`CodeComprehension` :cite:p:`CodeComprehension`",,X,,27,1-2,2000 Hz,Text (code)
":any:`CoLAGaze` :cite:p:`CoLAGaze`",,X,X,42,1,2000 Hz,Text (sentences)
":any:`CopCo` :cite:p:`CopCoL1Hollenstein,CopCoL1DysBjornsdottir,CopCoL2`",X,X,X,58,1,1000 Hz,Text (documents)
":any:`DAEMONS` :cite:p:`DAEMONS`",,X,,250,1,1000 Hz,Image
":any:`DIDEC` :cite:p:`DIDEC`",X,,,112,1,250 Hz,Image
":any:`EMTeC` :cite:p:`EMTeC`",X,X,,107,1,2000 Hz,Text (documents)
":any:`ETDD70` :cite:p:`ETDD70`",X,X,,70,1,250 Hz,Text (documents)
":any:`FakeNewsPerception` :cite:p:`FakeNewsPerception`",,X,,25,1,600 Hz,"Text (documents), Image"
":any:`Gaze4Hate` :cite:p:`Gaze4Hate`",,X,X,43,1,1000 Hz,Text (sentences)
":any:`GazeGraph` :cite:p:`GazeGraph`",X,,,8,1,30 Hz,Various
":any:`GazeOnFaces` :cite:p:`GazeOnFaces`",X,,,405,1,250 Hz,Video
":any:`GazeBase` :cite:p:`GazeBase`",X,,,322,1-9,1000 Hz,"Random Dots, Text (documents), Video, Game"
":any:`GazeBaseVR` :cite:p:`GazeBaseVR`",X,,,407,1-6,250 Hz,"Random Dots, Text (documents), Video, Game"
":any:`GGTG` :cite:p:`GGTG`",X,X,X,24,1,1000 Hz,"Text (documents)"
":any:`HBN` :cite:p:`HBN`",X,,,1246,1,120 Hz,Video
":any:`InteRead` :cite:p:`InteRead`",X,X,,50,1,1200 Hz,Text (documents)
":any:`IITB_HGC` :cite:p:`IITB_HGC`",,X,,5,1,2000 Hz,Text (documents)
":any:`JuDo1000` :cite:p:`JuDo1000`",X,,,150,4,1000 Hz,Random Dots
":any:`MouseCursor` :cite:p:`MouseCursor`",X,,,2,1,3 Hz,Mouse Cursor
":any:`MECOL1W1` :cite:p:`MECOL1W1`",,X,X,580,1,Various Hz,Text (documents)
":any:`MECOL1W2` :cite:p:`MECOL1W2`",,X,X,654,1,Various Hz,Text (documents)
":any:`MECOL2W1` :cite:p:`MECOL2W1`",,X,,542,1,Various Hz,Text (documents)
":any:`MECOL2W2` :cite:p:`MECOL2W2`",,X,,660,1,Various Hz,Text (documents)
":any:`OneStop` :cite:p:`OneStop`",,X,X,360,1,1000 Hz,Text (documents)
":any:`PoTeC` :cite:p:`PoTeC`",X,,,75,1,1000 Hz,Text (documents)
":any:`PotsdamBingeRemotePVT` :cite:p:`PotsdamBingePVT`",X,,,57,2,1000 Hz,Dots (PVT test)
":any:`PotsdamBingeWearablePVT` :cite:p:`PotsdamBingePVT`",X,,,57,2,200 Hz (upsampled to 1000 Hz),Dots (PVT test)
":any:`Provo` :cite:p:`Provo`",,X,,470,1,1000 Hz,Text (documents)
":any:`RaCCooNS` :cite:p:`RaCCooNS`",X,X,X,37,1,1000 Hz,Text (sentences)
":any:`SBSAT` :cite:p:`SB-SAT`",X,X,,95,1,1000 Hz,Text (documents)
":any:`UCL` :cite:p:`UCL`",,X,X,43,1,500 Hz,Text (sentences)
