time,x,y
0.0,206.8,152.4
4.0,207.0,151.5
8.0,207.6,151.9
12.0,207.6,152.2
16.0,207.8,151.6
20.0,207.9,150.9
24.0,207.9,151.6
28.0,208.1,152.0
32.0,208.4,151.4
36.0,207.3,151.4
40.0,207.2,151.2
44.0,208.0,151.6
48.0,207.8,151.0
52.0,208.3,150.7
56.0,207.3,150.3
60.0,207.7,150.9
64.0,207.4,150.7
68.0,207.8,150.1
72.0,207.4,150.0
76.0,207.6,150.0
80.0,209.2,150.5
84.0,207.8,150.2
88.0,207.4,150.1
92.0,207.7,151.2
96.0,207.2,150.4
100.0,207.4,150.6
104.0,207.4,150.9
108.0,207.0,151.6
112.0,206.9,150.8
116.0,207.8,151.8
120.0,207.5,152.0
124.0,207.0,151.9
128.0,206.5,152.5
132.0,207.0,152.6
136.0,207.2,152.5
140.0,206.9,152.3
144.0,207.1,152.2
148.0,207.0,153.2
152.0,206.6,152.7
156.0,206.9,153.0
160.0,206.7,153.1
164.0,207.0,152.4
168.0,206.8,153.0
172.0,207.4,152.8
176.0,207.4,153.1
180.0,203.2,152.9
184.0,187.4,152.9
188.0,166.6,151.6
192.0,154.8,151.3
196.0,155.3,149.9
200.0,160.7,148.0
204.0,168.7,148.5
208.0,171.5,149.0
212.0,170.7,149.8
216.0,169.9,149.3
220.0,168.3,148.9
224.0,167.8,148.9
228.0,166.8,149.0
232.0,167.2,149.2
236.0,166.7,148.7
240.0,165.8,148.7
244.0,165.6,148.3
248.0,165.6,148.2
252.0,165.7,148.1
256.0,166.2,148.8
260.0,165.8,148.6
264.0,166.1,148.4
268.0,167.2,147.5
272.0,166.7,148.0
276.0,166.6,147.4
280.0,167.4,148.1
284.0,167.0,147.4
288.0,167.2,147.7
292.0,167.1,147.6
296.0,167.2,147.4
300.0,167.7,146.8
304.0,167.3,146.4
308.0,166.7,146.5
312.0,167.4,146.6
316.0,167.7,146.4
320.0,167.4,145.9
324.0,167.3,145.2
328.0,168.3,145.1
332.0,167.8,144.1
336.0,167.2,144.4
340.0,167.0,144.3
344.0,167.7,144.6
348.0,167.3,145.0
352.0,167.8,146.6
356.0,167.2,147.1
360.0,166.8,148.4
364.0,166.8,148.5
368.0,166.4,148.5
372.0,166.5,149.0
376.0,167.2,148.8
380.0,165.8,148.7
384.0,165.5,149.1
388.0,165.8,148.8
392.0,166.3,148.4
396.0,166.7,147.3
400.0,166.0,147.9
404.0,171.7,148.0
408.0,197.7,149.9
412.0,229.8,151.7
416.0,251.9,153.4
420.0,262.4,152.7
424.0,265.3,150.9
428.0,261.2,152.1
432.0,253.4,152.5
436.0,245.0,153.4
440.0,242.3,153.3
444.0,243.9,153.9
448.0,247.7,154.2
452.0,248.7,154.1
456.0,249.1,154.6
460.0,250.6,154.5
464.0,251.0,155.2
468.0,251.3,154.5
472.0,251.0,154.4
476.0,252.3,152.9
480.0,252.9,152.8
484.0,251.9,152.2
488.0,252.8,151.7
492.0,251.5,151.6
496.0,251.7,151.3
500.0,251.9,151.6
504.0,252.1,152.3
508.0,251.9,153.0
512.0,251.7,153.5
516.0,251.9,153.5
520.0,252.5,153.5
524.0,252.1,153.8
528.0,252.1,153.9
532.0,251.9,154.3
536.0,252.8,153.3
540.0,252.7,151.9
544.0,252.3,150.7
548.0,251.8,149.8
552.0,253.1,150.4
556.0,252.9,149.2
560.0,252.1,149.3
564.0,252.4,149.7
568.0,252.7,150.0
572.0,253.2,150.5
576.0,253.3,149.7
580.0,253.3,149.9
584.0,252.7,149.8
588.0,252.3,150.0
592.0,252.6,150.6
596.0,266.5,152.4
600.0,301.3,156.8
604.0,340.2,158.2
608.0,372.4,158.2
612.0,382.2,155.8
616.0,387.0,155.2
620.0,386.2,155.3
624.0,379.5,155.3
628.0,369.4,155.5
632.0,363.3,155.8
636.0,363.9,156.7
640.0,368.5,155.6
644.0,371.9,155.1
648.0,373.3,155.5
652.0,374.2,156.1
656.0,374.8,157.2
660.0,374.9,156.8
664.0,375.3,156.2
668.0,374.2,154.9
672.0,374.8,155.3
676.0,374.4,154.0
680.0,375.3,154.5
684.0,375.7,154.8
688.0,375.2,154.7
692.0,375.3,154.4
696.0,375.5,155.3
700.0,375.6,154.9
704.0,375.4,155.8
708.0,374.9,155.7
712.0,375.6,156.5
716.0,375.5,157.3
720.0,375.0,157.0
724.0,375.1,157.5
728.0,375.4,157.5
732.0,375.4,156.4
736.0,375.4,157.2
740.0,375.3,156.9
744.0,375.2,156.9
748.0,375.4,157.2
752.0,375.8,156.2
756.0,376.1,156.1
760.0,376.0,156.9
764.0,376.5,156.1
768.0,375.7,156.6
772.0,375.4,157.9
776.0,375.8,158.2
780.0,376.4,157.4
784.0,376.5,157.8
788.0,375.9,158.1
792.0,376.4,158.7
796.0,376.6,158.6
800.0,377.0,158.2
804.0,376.6,158.6
808.0,375.9,158.6
812.0,376.5,158.8
816.0,376.4,158.7
820.0,376.8,158.8
824.0,376.9,158.7
828.0,376.6,158.9
832.0,375.9,158.6
836.0,376.1,158.4
840.0,375.6,158.7
844.0,375.9,157.4
848.0,376.3,157.6
852.0,376.1,158.0
856.0,376.1,158.0
860.0,375.9,157.2
864.0,376.2,157.2
868.0,376.1,157.0
872.0,387.0,158.3
876.0,417.1,160.4
880.0,445.4,158.7
884.0,457.4,155.1
888.0,459.7,153.0
892.0,452.2,152.4
896.0,443.6,154.4
900.0,440.7,154.3
904.0,438.7,154.4
908.0,437.3,152.9
912.0,439.7,153.6
916.0,442.7,154.6
920.0,443.0,154.1
924.0,443.9,154.2
928.0,445.9,154.4
932.0,446.1,154.6
936.0,446.7,154.6
940.0,447.5,153.8
944.0,448.0,153.8
948.0,447.5,154.7
952.0,447.0,153.8
956.0,447.5,153.5
960.0,447.7,153.6
964.0,447.3,154.1
968.0,447.4,153.4
972.0,447.6,153.7
976.0,448.2,154.0
980.0,447.4,154.1
984.0,448.1,153.6
988.0,448.4,154.0
992.0,448.4,153.6
996.0,448.8,153.6
1000.0,449.0,153.4
1004.0,448.3,153.4
1008.0,448.4,153.2
1012.0,448.6,153.0
1016.0,448.9,153.5
1020.0,447.9,153.1
1024.0,448.9,153.1
1028.0,452.4,153.5
1032.0,460.0,155.5
1036.0,482.6,156.8
1040.0,512.0,158.2
1044.0,528.1,158.2
1048.0,526.5,156.5
1052.0,517.4,155.8
1056.0,511.6,156.0
1060.0,509.4,157.2
1064.0,508.9,156.9
1068.0,508.4,157.1
1072.0,508.7,156.3
1076.0,510.5,156.7
1080.0,511.0,157.8
1084.0,511.4,156.9
1088.0,512.3,157.4
1092.0,513.4,157.1
1096.0,513.7,158.1
1100.0,513.4,158.6
1104.0,513.4,158.8
1108.0,512.6,158.9
1112.0,513.2,159.1
1116.0,513.4,158.6
1120.0,513.2,157.7
1124.0,513.0,158.2
1128.0,514.2,158.1
1132.0,513.0,157.6
1136.0,513.8,156.9
1140.0,513.7,155.6
1144.0,513.4,155.7
1148.0,514.2,155.9
1152.0,514.3,155.4
1156.0,513.0,155.8
1160.0,512.8,155.8
1164.0,513.6,156.0
1168.0,513.5,155.8
1172.0,513.2,156.0
1176.0,513.9,155.9
1180.0,513.3,156.2
1184.0,514.1,156.5
1188.0,514.2,156.4
1192.0,514.1,156.6
1196.0,514.3,156.8
1200.0,514.8,157.0
1204.0,513.8,156.9
1208.0,514.6,156.8
1212.0,514.0,156.1
1216.0,514.0,155.4
1220.0,514.1,155.4
1224.0,513.5,156.4
1228.0,513.7,156.6
1232.0,513.8,156.4
1236.0,514.1,156.0
1240.0,514.3,157.0
1244.0,513.3,156.6
1248.0,513.6,157.6
1252.0,514.1,157.9
1256.0,515.2,159.4
1260.0,514.1,159.0
1264.0,515.5,158.8
1268.0,515.1,160.4
1272.0,515.1,160.0
1276.0,514.8,160.3
1280.0,516.6,161.3
1284.0,531.1,161.1
1288.0,553.6,162.1
1292.0,580.8,161.4
1296.0,590.7,161.0
1300.0,589.6,159.5
